from,from_ctry,to,to_ctry,sp_distance,distance,duration_100kmh,duration_65kmh,border_dist,border_time,total_dist,total_time_100kmh,total_time_65kmh,rugg,pop_wpop,pop_wpop_km2,cost_km
74,GAB,27,GAB,227074.416228149,274247.884602592,164.548730761555,253.151893479316,0,0,274247.884602592,164.548730761555,253.151893479316,31231.64453125,27320.3125,17.3548216569023,476627.394124189
29,GNQ,28,GAB,71539.0641156409,86400.9135245401,51.8405481147241,79.7546894072678,1632187.5,5862,1718588.41352454,5913.84054811472,5941.75468940727,12427.2412109375,22256.34375,46.0573631667212,462282.193580464
41,CMR,29,GNQ,60435.2406726871,72990.3314747721,43.7941988848633,67.3756905920974,1701289.0625,8206.5,1774279.39397477,8250.29419888486,8273.8756905921,9234.3984375,30271.68359375,73.3466792544567,463783.314534201
36,CMR,30,CMR,58829.8131800958,71051.3851987476,42.6308311192486,65.5858940296132,0,0,71051.3851987476,42.6308311192486,65.5858940296132,37563.90625,28285.0703125,70.5904883602789,547071.443153845
58,CMR,33,CMR,50587.5804223568,61096.8736524491,36.6581241914695,56.3971141407222,0,0,61096.8736524491,36.6581241914695,56.3971141407222,24741.96484375,1796146.375,5132.38445663633,748178.592332251
54,CMR,38,CMR,114763.503981645,138604.994430217,83.1629966581299,127.943071781738,0,0,138604.994430217,83.1629966581299,127.943071781738,54830.04296875,21089.47265625,27.1141521958167,528749.180975124
40,GAB,39,GAB,191285.397184742,231023.892540031,138.614335524018,213.252823883105,0,0,231023.892540031,138.614335524018,213.252823883105,27612.8984375,4697.11474609375,3.57601312732313,417333.94409958
57,GAB,40,GAB,155788.117165923,188152.246689245,112.891348013547,173.678996943919,0,0,188152.246689245,112.891348013547,173.678996943919,14594.373046875,3450.3525390625,3.23096988754711,384024.118228917
56,CMR,41,CMR,111037.336833077,134104.736430462,80.462841858277,123.788987474272,0,0,134104.736430462,80.462841858277,123.788987474272,17155.08984375,41894.359375,55.1853159114402,487813.654931927
61,CMR,43,NGA,202834.174818002,244971.865580222,146.983119348133,226.127875920205,1944034.6875,7592.57175,2189006.55308022,7739.55486934813,7818.6996259202,121762.609375,42590.2421875,30.5792771505199,587651.31500205
57,GAB,47,GAB,149966.193668578,181120.850418427,108.672510251056,167.188477309317,0,0,181120.850418427,108.672510251056,167.188477309317,24493.548828125,4010.09399414063,3.95946742660295,414197.084198821
56,CMR,51,CMR,64670.7551109537,78105.7508786528,46.8634505271917,72.0976161956795,0,0,78105.7508786528,46.8634505271917,72.0976161956795,31620.4140625,12782.1513671875,29.0743233621965,497796.235352789
57,GAB,51,CMR,217312.48337818,262457.963579315,157.474778147589,242.268889457829,2145976.5625,6124.5,2408434.52607931,6281.97477814759,6366.76888945783,22729.318359375,6134.3486328125,3.94763863639513,410414.834557378
83,CMR,53,NGA,199209.773484388,240594.514687042,144.356708812225,222.087244326501,1944034.6875,7592.57175,2184629.20218704,7736.92845881223,7814.6589943265,136959.484375,181874.140625,133.307224821189,674044.164898148
59,CMR,54,CMR,165822.496583847,200271.213565288,120.162728139173,184.865735598727,0,0,200271.213565288,120.162728139173,184.865735598727,27905.111328125,9421.4365234375,8.30014796103856,443825.797489723
