from,from_ctry,to,to_ctry,sp_distance,distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km,upgrade_cat,ug_cost_km
3,GAB,27,GAB,114546.589958231,133762.631578947,84.8833333333334,94.5504562505813,94.5504562505813,84.8833333333334,0,0,84.8833333333334,84.8833333333334,12657.7900390625,10736.2177734375,12.9056850512521,417698.727872885,Nothing: >90km/h,0
16,GNQ,28,GAB,51528.5227973787,74513.1578947369,61.4166666666667,72.7944011997429,90,49.6754385964912,1632187.5,5862,5923.41666666667,5911.67543859649,11068.06640625,6503.1181640625,16.5651763197879,419269.168753364,Mixed Works: 60-80km/h,225706.569178893
16,GNQ,29,GNQ,89539.8336366321,227128.421052632,220.641666666667,61.7639699202684,90,151.418947368421,0,0,220.641666666667,151.418947368421,8298.6337890625,37900.828125,30.4847633626536,425626.031619389,Mixed Works: 60-80km/h,229128.680355104
22,CMR,24,CMR,36435.6511599951,48780,84.2416666666667,34.7429023642299,90,32.52,0,0,84.2416666666667,32.52,32411.6953125,9490.16015625,33.4455939760562,624351.224903023,Upgrade: <60km/h,528617.370417893
24,CMR,30,CMR,29872.8344986851,43568.4210526316,72.2083333333333,36.202265617882,90,29.0456140350877,0,0,72.2083333333333,29.0456140350877,24805.96875,4745.06298828125,19.5394823688907,543590.827263608,Upgrade: <60km/h,460240.233749855
25,CMR,31,CMR,12330.1549655013,16471.5789473684,21.125,46.7831828090938,90,10.9810526315789,0,0,21.125,10.9810526315789,25045.1640625,8428.8740234375,79.8913099077746,622009.724609631,Upgrade: <60km/h,526634.900169488
25,CMR,32,CMR,113733.991995414,174621.052631579,198.958333333333,52.6605896941306,90,116.414035087719,0,0,198.958333333333,116.414035087719,22629.845703125,64757.8125,66.09516570227,540556.63276367,Upgrade: <60km/h,457671.282406574
25,CMR,33,CMR,76739.3701543113,100469.473684211,119.7,50.3606384382008,90,66.979649122807,0,0,119.7,66.979649122807,50219.390625,2201564,3725.38492907056,1149812.88052593,Upgrade: <60km/h,973508.238845286
26,CMR,34,CMR,34738.0376171733,58926.3157894737,93.95,37.6325593120641,90,39.2842105263158,0,0,93.95,39.2842105263158,31001.048828125,6259.7666015625,18.6241835031447,478918.15988724,Upgrade: <60km/h,405484.042037863
26,CMR,32,CMR,36810.6687554752,49016.8421052632,44.6416666666667,65.880392599943,90,32.6778947368421,0,0,44.6416666666667,32.6778947368421,46474.56640625,20150.45703125,71.5707700189777,627208.354819251,Mixed Works: 60-80km/h,337647.164344364
22,CMR,35,CMR,44010.023061906,62154.7368421053,50.05,74.5111730374888,90,41.4364912280702,0,0,50.05,41.4364912280702,36317.41796875,31528.994140625,87.04482132232,680219.42357024,Mixed Works: 60-80km/h,366184.789688645
30,CMR,31,CMR,37661.737306879,52047.8947368421,62.0583333333333,50.321584813383,90,34.6985964912281,0,0,62.0583333333333,34.6985964912281,70623.2734375,9626.8740234375,32.8257098837782,586864.69220521,Upgrade: <60km/h,496878.772733744
31,CMR,36,CMR,71675.5481759507,100253.157894737,183.241666666667,32.8265376707493,90,66.8354385964913,0,0,183.241666666667,66.8354385964913,71059.5625,20919.390625,38.0637401451378,784349.233837048,Upgrade: <60km/h,664082.351315367
23,CMR,37,NGA,91163.3536663715,162518.947368421,186.904761904762,52.1716875628562,90,108.345964912281,1944034.6875,7592.57175,7779.47651190476,7700.91771491228,133257.21875,68921.71875,90.8203365990975,1166041.41798809,Upgrade: <60km/h,987248.400563249
23,CMR,38,CMR,70773.2942431549,85658.9473684211,102.266666666667,50.2562272696082,90,57.1059649122807,0,0,102.266666666667,57.1059649122807,68987.7265625,71935.7734375,145.684118637921,901714.57248636,Upgrade: <60km/h,763451.671371784
21,GAB,39,GAB,72916.3114261814,97619.4736842105,488.683333333333,11.9856111750335,90,65.079649122807,0,0,488.683333333333,65.079649122807,25288.58203125,2311.67138671875,4.48484062984915,419361.668543337,Upgrade: <60km/h,355059.546033358
21,GAB,40,GAB,211329.923363358,327796.315789474,306.95,64.0748621839662,90,218.530877192982,0,0,306.95,218.530877192982,19942.361328125,11884.3310546875,6.53663728792033,418737.773968997,Mixed Works: 60-80km/h,225420.50165331
12,GNQ,29,GNQ,35481.1222545678,45943.1578947369,29.425,93.6818852568976,93.6818852568976,29.425,0,0,29.425,29.425,8340.4228515625,13225.2578125,48.6744199270764,494191.308159233,Nothing: >90km/h,0
12,GNQ,41,CMR,66411.7656894667,81624.7368421053,69.05,70.9266359236252,90,54.4164912280702,1701289.0625,8206.5,8275.55,8260.91649122807,12288.4501953125,33996.44921875,68.4592243076717,511601.05206276,Mixed Works: 60-80km/h,275411.899693786
30,CMR,35,CMR,58480.9562827313,70115.7894736842,70.4416666666667,59.7224280386285,90,46.7438596491228,0,0,70.4416666666667,46.7438596491228,52799.08203125,40030.19921875,95.0913367659386,711773.607170485,Upgrade: <60km/h,602634.987404343
32,CMR,34,CMR,39417.0314707823,49385.2631578947,49.3166666666667,60.0834563597232,90,32.9235087719298,0,0,49.3166666666667,32.9235087719298,20575.55859375,20201.201171875,70.957802445373,568375.125332927,Mixed Works: 60-80km/h,305975.275804226
34,CMR,41,CMR,55508.2224544769,84432.1052631579,86.075,58.8547930965957,90,56.2880701754386,0,0,86.075,56.2880701754386,24919.3359375,33267.6328125,70.9328346320562,557089.319331043,Upgrade: <60km/h,471668.957033616
