from,from_ctry,to,to_ctry,sp_distance,distance,duration,speed_kmh,speed_kmh_imp,duration_imp,border_dist,border_time,total_time,total_time_imp,rugg,pop_wpop,pop_wpop_km2,cost_km,upgrade_cat,ug_cost_km
18,CMR,26,CMR,31531.8982468114,36240,25.2833333333333,86.0013183915623,100,21.744,0,0,25.2833333333333,21.744,28999.26171875,5234.18115234375,22.7403826868503,538994.253329007,Resurfacing,127561.973287865
3,GAB,27,GAB,114546.589958231,127074.5,83.15,91.6953698135899,100,76.2447,0,0,83.15,76.2447,12657.7900390625,10736.2177734375,12.9056850512521,417698.727872885,Resurfacing,98855.3655965828
16,GNQ,28,GAB,51528.5227973787,70787.5,49.3916666666667,85.9912265901805,100,42.4725,1632187.5,5862,5911.39166666667,5904.4725,11068.06640625,6503.1181640625,16.5651763197879,419269.168753364,Resurfacing,99227.0366049624
16,GNQ,29,GNQ,89539.8336366321,215772,150.908333333333,85.7892981390469,100,129.4632,0,0,150.908333333333,129.4632,8298.6337890625,37900.828125,30.4847633626536,425626.031619389,Resurfacing,100731.494149922
22,CMR,24,CMR,36435.6511599951,46341,33.9083333333333,81.9993118702384,100,27.8046,0,0,33.9083333333333,27.8046,32411.6953125,9490.16015625,33.4455939760562,563795.776806609,Resurfacing,133431.667177564
24,CMR,30,CMR,29872.8344986851,41390,30.2833333333333,82.0055035773253,100,24.834,0,0,30.2833333333333,24.834,24805.96875,4745.06298828125,19.5394823688907,522514.198417107,Resurfacing,123661.693625382
25,CMR,31,CMR,12330.1549655013,15648,11.45,81.9982532751092,100,9.3888,0,0,11.45,9.3888,25045.1640625,8428.8740234375,79.8913099077746,587759.653161602,Resurfacing,139103.117914912
25,CMR,32,CMR,113733.991995414,165890,121.558333333333,81.8816754644547,100,99.534,0,0,121.558333333333,99.534,22629.845703125,64757.8125,66.09516570227,511963.970690644,Resurfacing,121164.806396785
25,CMR,33,CMR,76739.3701543113,95446,62.95,90.9731532962669,100,57.2676,0,0,62.95,57.2676,50219.390625,2201564,3725.38492907056,792634.335781965,Resurfacing,181179.758531769
26,CMR,34,CMR,34738.0376171733,55980,55.15,60.9029918404352,100,33.588,0,0,55.15,33.588,31001.048828125,6259.7666015625,18.6241835031447,478918.15988724,Mixed Works,257817.609405964
26,CMR,32,CMR,36810.6687554752,46566,32.4833333333333,86.0121087737301,100,27.9396,0,0,32.4833333333333,27.9396,46474.56640625,20150.45703125,71.5707700189777,627208.354819251,Resurfacing,148439.310640556
22,CMR,35,CMR,44010.023061906,59047,42.7583333333333,82.8568310270902,100,35.4282,0,0,42.7583333333333,35.4282,36317.41796875,31528.994140625,87.04482132232,554526.714349537,Resurfacing,131237.989062724
