lon,lat,iso3c,city_country,city_port,population,IWI,gdp,wealth,port_locode,port_name,port_status,outflows,product
12.4489298,-3.7208798,COG,"",FALSE,0,25.0955286884135,0,0,"","","",0,1
12.0422497,8.1119099,NGA,"",FALSE,0,23.3612615213041,0,0,"","","",0,1
12.2272902,5.3556399,CMR,"",FALSE,0,18.1823813647694,0,0,"","","",0,1
11.5141802,3.4663,CMR,mbalmayo - CMR,FALSE,129236.935754174,41.0625757569253,255128611.085687,5306801.46499866,"","","",0,4
11.984259,2.933186,CMR,sangmelima - CMR,TRUE,123584.075442859,56.9289655047632,338237791.006949,7035513.56782458,"","","",0,4
12.8800592,0.57262,GAB,makokou - GAB,FALSE,27458.9151910746,29.4106161947788,38825210.9290341,807583.615809677,"","","",0,1
11.7421799,3.4712598,CMR,"",FALSE,0,31.8059331008401,0,0,"","","",0,1
12.3173695,3.86707,CMR,akonolinga - CMR,FALSE,24558,33.8926376387238,40015171.9859904,832335.39513178,"","","",0,1
11.6356602,4.2817297,CMR,"",FALSE,0,42.5938391278152,0,0,"","","",0,1
12.62843,6.465065,CMR,tibati - CMR,TRUE,55734.922674582,40.1339961626869,107539034.289014,2236865.17274933,"","","",0,2
13.4344997,4.5693398,CMR,"",FALSE,0,28.0584954125544,0,0,"","","",0,1
11.893892,-4.818817,COG,pointe noire - COG,TRUE,1210568.39894477,62.4806814208222,3636314305.76059,75637138.4725829,CGPNR,Pointe Noire,AI,3473713.58117,12
12.1422396,-4.4204998,COG,"",FALSE,0,26.5356186031771,0,0,"","","",0,1
12.5527201,3.8897099,CMR,ayos - CMR,FALSE,12289.9424341209,24.3573751294474,14391519.7440298,299350.738187197,"","","",0,1
12.6691294,2.67044,CMR,"",FALSE,0,37.2291562950342,0,0,"","","",0,1
12.2308893,9.30441,NGA,"",FALSE,0,36.996444107965,0,0,"","","",0,1
13.1129599,11.8344793,NGA,"",FALSE,0,51.6124374295384,0,0,"","","",0,1
12.666658,-4.1983,COG,dolisie - COG,TRUE,142576.296164443,46.3406113822735,317640164.381448,6607072.73288038,"","","",0,4
12.3433399,5.4879899,CMR,"",FALSE,0,18.3748807025148,0,0,"","","",0,1
13.1615601,10.3116198,NGA,"",FALSE,0,34.95484559539,0,0,"","","",0,1
12.6040697,-3.47978,COG,makabana - COG,FALSE,15811.8463469583,20.6214024895594,15675705.966787,326062.447623697,"","","",0,1
13.0467901,-4.1487999,COG,nkayi - COG,FALSE,145899.299833998,30.8053691455104,216075710.398669,4494481.78945781,"","","",0,4
13.2161398,-1.5501,GAB,moanda - GAB,FALSE,78609.3275619483,58.8645294950298,222461101.21515,4627301.08085476,"","","",0,2
13.0723896,6.5987396,CMR,ngaoundal - CMR,FALSE,34771.0780473544,26.4265705771924,44175887.9621901,918880.348063476,"","","",0,1
15.8996,1.4879199,COG,"",FALSE,0,24.580991601038,0,0,"","","",0,1
13.7685299,-1.60314,GAB,"",FALSE,0,23.9015667784341,0,0,"","","",0,1
15.6253796,-0.00424,COG,makoua - COG,FALSE,24390.7586285276,30.3552408659874,35594698.2944085,740387.353073117,"","","",0,1
14.3372498,-4.2444501,COG,mindouli - COG,FALSE,24738.1054187109,33.7293206519724,40114404.9529291,834399.489989997,"","","",0,1
13.584335,7.328085,CMR,ngaoundere - CMR,TRUE,398186.460856134,59.6974992536809,1142796633.21732,23770735.9497849,"","","",0,13
13.9104395,12.0382099,NGA,"",FALSE,0,25.6535505925954,0,0,"","","",0,1
13.3954792,10.6302195,NGA,mogode - CMR,FALSE,10383,31.7692183611356,15858266.3612835,329859.794243671,"","","",0,1
13.397603,9.301353,CMR,garoua - CMR,TRUE,622514.987458491,50.9486731855807,1524786417.63899,31716312.6491485,"","","",0,14
