id,from,to,sp_distance,distance,nre_per_link,nre_gain_perc,nre_wtd_per_link,nre_wtd_gain_perc,ACLED_fatalities_sqrt,N_ACLED,MA_per_link,MA_gain_perc,from_ctry,to_ctry,border_dist,border_time,MA_per_link_bc,MA_gain_perc_bc,MA_gain_bc_ratio,MA_gain_perc_bc_ratio,total_dist,rugg,pop_wpop,pop_wpop_km2,cost_km,MA_gain_pusd,MA_gain_pusd_bc,consensus,MA_gain_pusd_cons,duration_90kmh,duration_65kmh,total_time_90kmh,total_time_65kmh,MA_per_link_90kmh,MA_per_link_90kmh_perc,MA_per_link_90kmh_bt,MA_per_link_90kmh_bt_perc,MA_gain_90kmh_pusd,MA_gain_90kmh_pusd_bt
16,41,29,60435.2406726871,76831.9278681812,0.65785301578179,0.541649307402259,0.679034863001456,0.381375026789565,0.994280693050022,11,27880137.9854366,0.448976193667061,CMR,GNQ,1701289.0625,8206.5,19195468.3399898,0.0622560272593109,0.0958378600795735,0.138662201108767,1778120.99036818,9234.3984375,30271.68359375,73.3466792544567,496928.320653641,3.26390296497834,0.3128054756709,FALSE,1.78835422032462,51.2212852454541,70.9217795706288,8257.72128524545,8277.42177957063,25555263355.6454,0.448061631818408,14851955799.2113,0.0136821900913908,2.98566500259123,0.0532162627578284
17,36,30,58829.8131800958,74790.9317881554,0.6548159837134,0.0774905883113464,0.677053498759048,0.088470968516785,19.9142236563913,235,27855698.5702643,0.360923751670361,CMR,CMR,0,0,19282180.2644942,0.514268483360425,0.984812301294905,1.42486738814052,74790.9317881554,37563.90625,28285.0703125,70.5904883602789,741460.84234008,1.80645731110098,1.77902138173636,TRUE,1.79273934641867,49.8606211921036,69.0377831890665,49.8606211921036,69.0377831890665,25655412030.4608,0.84170814291904,15039234954.31,1.27482773564087,3.86156335830157,3.4138039025578
18,58,33,50587.5804223568,64312.4985815254,0.65471771399142,0.0624717319895662,0.677708255707095,0.185263351845655,39.5796904854568,233,27875657.891949,0.432834924771064,CMR,CMR,0,0,19297426.2268053,0.593742729945035,0.94810192212727,1.37175328506377,64312.4985815254,24741.96484375,1796146.375,5132.38445663633,1083518.05018984,1.7240115345724,1.63453864969768,TRUE,1.67927509213504,42.8749990543503,59.3653833060234,42.8749990543503,59.3653833060234,25789185948.266,1.36752274922627,15175684053.7622,2.19368159248199,4.99277306886188,4.67483502321739
19,54,38,114763.503981645,145899.99413707,0.654888229993106,0.088532203905789,0.676519272338848,0.00949655121171844,1.28074471648973,12,27769482.5186974,0.0502970927965807,CMR,CMR,0,0,19194809.998341,0.058824219842446,0.808336725786971,1.16953518725927,145899.99413707,54830.04296875,21089.47265625,27.1141521958167,574192.314761381,0.166640146077778,0.134701350065174,FALSE,0.150670748071476,97.2666627580467,134.676917664988,97.2666627580467,134.676917664988,25551958774.5065,0.435072574915107,14918866783.9826,0.464263517993224,1.32125869587972,0.822955096718322
20,40,39,191285.397184742,243183.04477898,0.65640563402145,0.320441612262257,0.677824632759907,0.202467311788479,0,6,27812952.2818245,0.206913720869917,GAB,GAB,0,0,19194270.7085446,0.0560130066578291,0.187102078835639,0.270707067768809,243183.04477898,27612.8984375,4697.11474609375,3.57601312732313,417333.94409958,0.565876545048635,0.105876677942929,FALSE,0.335876611495782,162.122029852653,224.476656719058,162.122029852653,224.476656719058,25605985631.7901,0.647431689148026,14865358887.2608,0.10393913716773,1.62298965421581,0.152084984171497
21,57,40,155788.117165923,198054.996514995,0.654428602358039,0.0182859340122299,0.676481669881978,0.00393779932637006,0,12,27758030.7298821,0.00903759606516452,GAB,GAB,0,0,19184547.0167159,0.00532528578245373,0.407257424728032,0.589236976742087,198054.996514995,14594.373046875,3450.3525390625,3.23096988754711,384024.118228917,0.0329805601108141,0.0134315779768182,FALSE,0.0232060690438161,132.03666434333,182.819996783072,132.03666434333,182.819996783072,25481821839.8236,0.159390847841823,14855773102.9148,0.0393880704879335,0.533160390387133,0.0769032393505112
22,56,41,111037.336833077,141162.880453118,0.657606031901564,0.503902020281033,0.677096247323163,0.0947904667931043,0.949401938862275,14,27800929.1322784,0.163595676204564,CMR,CMR,0,0,19195545.7496805,0.0626595489734649,0.264724697935337,0.383014700798778,141162.880453118,17155.08984375,41894.359375,55.1853159114402,521487.727471648,0.616817407191591,0.163286801800052,FALSE,0.390052104495821,94.1085869687451,130.304197341339,94.1085869687451,130.304197341339,25557098667.3212,0.455275546922929,14866210515.9193,0.109674039637486,1.57343396616267,0.221239907054544
23,61,43,202834.174818002,257865.121663391,0.65484838278332,0.0824422353322252,0.676455032440268,0,10.3818370931738,47,27759803.5779631,0.0154249667006168,CMR,NGA,1944034.6875,7592.57175,19184011.9660116,0.00253617016352514,0.113640509453439,0.164419814496179,2201899.80916339,121762.609375,42590.2421875,30.5792771505199,749447.040330732,0.0221533845478074,0.00251752190613078,FALSE,0.0123354532269691,171.910081108927,238.0293430739,7764.48183110893,7830.6010930739,25508792398.1143,0.265401897844653,14851532205.4136,0.0108296920077189,0.349389035086505,0.00832159898815334
24,57,47,149966.193668578,190653.526756238,0.654805611109829,0.0759053122000308,0.676577422135445,0.0180928057753382,0,10,27768025.3504243,0.045047080718108,GAB,GAB,0,0,19186123.9591137,0.0135455808621288,0.207830843200502,0.300698305998855,190653.526756238,24493.548828125,4010.09399414063,3.95946742660295,414197.084198821,0.158330351262708,0.0329059304071603,FALSE,0.0956181408349344,127.102351170826,175.987870851912,127.102351170826,175.987870851912,25486780812.7501,0.178882692289917,14856869229.3834,0.0467694312833,0.576308788360726,0.0879497155894015
25,56,51,64670.7551109537,82216.5798722661,0.659147135234517,0.739433464435257,0.677518864154731,0.157265695936237,0,8,27856037.5800894,0.362145165634153,CMR,CMR,0,0,19231134.348198,0.248176015330914,0.473648464130791,0.68529429323275,82216.5798722661,31620.4140625,12782.1513671875,29.0743233621965,497796.235352789,2.45595882708595,1.16326112641772,TRUE,1.80960997675184,54.8110532481774,75.8922275743995,54.8110532481774,75.8922275743995,25738202975.5502,1.16712799241003,14910563672.8379,0.408350025491089,7.25514791701675,1.48165060836635
