from,to,passes,gravity,gravity_rd,gravity_dur,log10_gravity,sp_distance,distance,duration,from_ctry,to_ctry,border_dist,border_time,total_dist,total_time,rugg,pop_wpop,pop_wpop_km2,cost_km,speed_kmh,speed_kmh_imp,duration_imp,MA_100_min_speed,MA_100_min_speed_perc,MA_100_min_speed_bt,MA_100_min_speed_bt_perc,MA_100_min_speed_bt_ratio,MA_100_min_speed_bt_perc_ratio,total_time_imp,upgrade_cat,ug_cost_km,MA_gain_pusd,MA_gain_pusd_bt,consensus,MA_gain_pusd_cons
10,12,53.3333333333333,16.9204961864339,8.98241353142275,0.226346372786628,1.22841309439276,138912.98681351,186900.52631579,113.233333333333,GNQ,GNQ,0,0,186900.52631579,113.233333333333,37873.453125,56312.3125,50.4294961554627,532429.468445389,99.0347210386874,100,112.140315789474,19808037734.3937,0.00358005174607712,11726679533.3605,0.00145300004394944,0.240280851949162,0.405860067676837,112.140315789474,Nothing,0,,,FALSE,
7,13,5.4,6.43729513881001,4.47261156988152,0.103097800051314,0.808703421233706,273548.991091695,394498.947368421,643.066666666667,NGA,CMR,1944034.6875,7592.57175,2338533.63486842,8235.63841666667,109980.4453125,849380.3125,350.345102248004,712449.509362697,36.8079051038336,100,236.699368421053,19915866216.6519,0.547966850779891,11739468118.8699,0.11051005486693,0.11939615676723,0.201672883514117,7829.27111842105,Upgrade,603207.251260417,0.456108106690481,0.0544575550092211,FALSE,0.255282830849851
7,14,12,15.218736949677,10.6483032068063,0.254520874875312,1.18237861048006,203949.567615022,223611.052631579,223.866666666667,NGA,NGA,0,0,223611.052631579,223.866666666667,14299.5947265625,290015.03125,199.537045996526,531782.746447284,59.9314911758252,100,134.166631578947,19822811355.3157,0.0781666918937551,11729966418.4011,0.0294825269846477,0.223298503174258,0.377175063577216,134.166631578947,Upgrade,450242.725325367,0.153782766306466,0.0343394615302307,FALSE,0.0940611139183485
4,15,8.33333333333333,9.87194878229676,7.0499412391655,0.163238397747993,0.994402893485804,93089.062575943,116067.368421053,89.8333333333333,GAB,GAB,0,0,116067.368421053,89.8333333333333,11812.4912109375,2285.75756835938,3.35632725241513,375331.552400265,77.5218045112782,100,69.6404210526316,19830474235.2299,0.116853786254256,11734899887.4037,0.0715536066268729,0.362519673294809,0.612334515812633,69.6404210526316,Mixed Works,202192.922833798,0.986262697720379,0.357539630960448,FALSE,0.671901164340414
4,16,92,44.8545708717703,23.0207624936247,0.489406588693251,1.65180670609223,121680.637572625,171692.631578947,139.325,GAB,GNQ,1632187.5,5862,1803880.13157895,6001.325,51362.203125,7025.6806640625,7.62115710417413,474470.442467594,73.939048230661,100,103.015578947368,19862067728.2059,0.276357844470665,11735589428.4607,0.0774337969578154,0.165882892068721,0.280193953264225,5965.01557894737,Mixed Works,255423.254861721,1.24820411949918,0.207055709234614,FALSE,0.727629914366895
11,17,38,16.6417205822255,10.5560484524326,0.233566771164052,1.22119822584512,60546.01155595,71105.2631578947,68.15,CMR,CMR,0,0,71105.2631578947,68.15,20073.775390625,43513.72265625,102.687996173472,523674.300445386,62.6018457736417,100,42.6631578947368,19826420462.8599,0.0963877635646426,11743612463.2399,0.145851726611723,0.895844250451469,1.51317678943663,42.6631578947368,Mixed Works,281911.331739766,0.952431015166391,0.853229848888467,FALSE,0.902830432027429
11,18,15,1.35681687474512,0.680812392136609,0.0156330795627866,0.132521236271067,72413.2347656506,90722.1052631579,94.6916666666667,CMR,CMR,0,0,90722.1052631579,94.6916666666667,15919.9296875,39849.27734375,75.6023748645901,496366.405460292,57.4847450404591,100,54.4332631578947,19850026710.444,0.21556712406734,11757652425.5406,0.26558013107163,0.729383429967636,1.23200665324397,54.4332631578947,Upgrade,420256.88995638,1.11990316677532,0.816838813014197,FALSE,0.968370989894757
9,19,54,144.21758670227,114.621074031197,2.72306538380829,2.15901822392039,46338.1676623705,55142.6315789474,54.425,CMR,CMR,0,0,55142.6315789474,54.425,15180.203125,23166.201171875,67.0606729186673,488605.49095023,60.7911418417426,100,33.0855789473684,19918100473.0503,0.559246798929713,11825373462.3535,0.843083938580569,0.892503953322525,1.50753467019224,33.0855789473684,Mixed Works,263032.622628207,7.63716740830816,6.81620210410097,TRUE,7.22668475620457
9,17,53.4,46.1559697875312,25.5892317777005,0.562950381489298,1.66422788040224,42145.0291938376,50855.2631578947,54.3416666666667,CMR,CMR,0,0,50855.2631578947,54.3416666666667,15599.9248046875,29244.154296875,93.1957362178937,503936.957301984,56.1505742580651,100,30.5131578947369,19879246562.775,0.363087533754669,11784786592.3082,0.496971813174629,0.810332502907168,1.368738298546,30.5131578947369,Upgrade,426666.623849013,3.31445912688114,2.6858139600691,TRUE,3.00013654347512
17,18,11,21.0816065752184,10.7379880894771,0.235274007375176,1.32390370427132,83511.9872864588,116876.842105263,138.75,CMR,CMR,0,0,116876.842105263,138.75,24956.328125,20063.806640625,32.2218775514445,487968.278050938,50.5413371266003,100,70.1261052631579,19920483014.8466,0.571275386134884,11797764114.1517,0.607640057923464,0.629714543491654,1.06365523996161,70.1261052631579,Upgrade,413146.47541646,2.34335938523755,1.47564748551175,TRUE,1.90950343537465
15,20,132,28.7224121503017,18.4067013970211,0.44116659011521,1.45822090978947,53513.929726324,79188.9473684211,79.45,GAB,GAB,0,0,79188.9473684211,79.45,6361.287109375,7616.107421875,18.5779189918804,395944.584702673,59.8028551555099,100,47.5133684210526,19834645610.0856,0.137913541132884,11732930773.3557,0.0547616182930977,0.235078117189173,0.397072092002433,47.5133684210526,Upgrade,335233.081714929,1.02901422211447,0.241898725895552,FALSE,0.635456474005011
3,20,93,27.2259345634071,17.5476710420813,0.420933868753202,1.43498279637141,113544.703238711,145169.473684211,100.775,GAB,GAB,0,0,145169.473684211,100.775,16393.54296875,8647.2919921875,9.88784491165496,421997.283737615,86.4318374701328,100,87.1016842105263,19817203173.0476,0.0498530188328239,11727889202.6957,0.0117686815481743,0.139758808352968,0.236067580734463,87.1016842105263,Resurfacing,99872.6904845687,0.681075592914603,0.0951863132640358,FALSE,0.38813095308932
15,21,127,22.7992428809236,14.1767366535217,0.343223551466414,1.35792042515411,63663.8644098679,99448.9473684211,121.2,GAB,GAB,0,0,99448.9473684211,121.2,35103.828125,4154.90869140625,8.51330064269396,457098.235082539,49.2321521625847,100,59.6693684210527,19819410479.5588,0.0609969068017024,11733193806.4492,0.057004682193873,0.553280744888204,0.93455037612304,59.6693684210527,Upgrade,387009.83903655,0.313914605225259,0.173682906610318,FALSE,0.243798755917789
