id,from,to,sp_distance,distance,nre_per_link,nre_gain_perc,nre_wtd_per_link,nre_wtd_gain_perc,MA_per_link,MA_gain_perc,from_ctry,to_ctry,border_dist,border_time,MA_per_link_bc,MA_gain_perc_bc,MA_gain_bc_ratio,MA_gain_perc_bc_ratio,total_dist,rugg,pop_wpop,pop_wpop_km2,cost_km,MA_gain_pusd,MA_gain_pusd_bc,consensus,MA_gain_pusd_cons,duration_100kmh,duration_65kmh,total_time_100kmh,total_time_65kmh,MA_per_link_100kmh_bt,MA_per_link_100kmh_bt_perc,MA_per_link_100kmh,MA_per_link_100kmh_perc,MA_gain_100kmh_pusd,MA_gain_100kmh_pusd_bt
11,21,16,123034.94713667,156415.562814864,0.654369808133738,0.00930023638805455,0.676455032440269,0,21534854.3404067,0.00211668794054543,GAB,GNQ,1632187.5,5862,15194610.0683693,0.000383334451137252,0.127783907773977,0.181101070117343,1788603.06281486,61986.0703125,3107.97338867188,3.65934483888381,460565.876907908,0.00632729177209832,0.000808526068264852,FALSE,0.00356790892018158,93.8493376889182,144.38359644449,5955.84933768892,6006.38359644449,11729134815.35,0.0223908764293457,19848297253.9072,0.206835726866661,0.56869543745008,0.0364475315009779
12,45,23,103068.304051554,131031.769117511,0.654577862256885,0.0410977719842887,0.677518387162215,0.157195182377512,21555363.5804055,0.0973561253251987,CMR,CMR,0,0,15214562.3370675,0.131695326613723,0.954469887192059,1.35271741941066,131031.769117511,87854.453125,30627.72265625,43.8812233562552,582218.505227691,0.274810560254422,0.262298404445224,FALSE,0.268554482349823,78.6190614705066,120.952402262318,78.6190614705066,120.952402262318,11778312518.0701,0.441762934241319,19889618611.6243,0.41545223697812,1.07865956551378,0.679040083059974
13,35,24,57494.956459318,73093.9150452154,0.654540613233493,0.0354048920292449,0.676482059053068,0.00399533028849763,21540560.3134485,0.0286137040296897,CMR,CMR,0,0,15200388.9852836,0.0384161568855346,0.947316243851553,1.34257895607202,73093.9150452154,25797.66015625,27312.41796875,69.8232105611553,522472.477642398,0.161347479173666,0.152847087925714,FALSE,0.15709728354969,43.8563490271293,67.4713061955835,43.8563490271293,67.4713061955835,11762719804.9876,0.308793157073994,19844512783.9366,0.187729314069052,0.973673517937969,0.948182143459801
14,74,27,227074.416228149,288681.983792203,0.654560127694083,0.0383873455652495,0.67646886557993,0.00204494593103455,21536531.9607465,0.00990710910235837,GAB,GAB,0,0,15196380.6514376,0.0120360839956035,0.857222206165533,1.21489365578283,288681.983792203,31231.64453125,27320.3125,17.3548216569023,476627.394124189,0.0155053298974449,0.0132915131020121,FALSE,0.0143984214997285,173.209190275322,266.475677346649,173.209190275322,266.475677346649,11734001151.938,0.0638894718500538,19816023047.3698,0.043894993395055,0.0631891064595458,0.0544501855236614
15,29,28,71539.0641156409,90948.3300258317,0.656084828234753,0.271411901782614,0.678511451567378,0.303999383327924,21592818.8245934,0.271288283892024,GNQ,GAB,1632187.5,5862,15202030.6816442,0.0492206635251957,0.128018158082884,0.181433060134606,1723135.83002583,12427.2412109375,22256.34375,46.0573631667212,462282.193580464,1.38951068232717,0.177882598188016,FALSE,0.783696640257593,54.568998015499,83.9523046392293,5916.5689980155,5945.95230463923,11731054046.8064,0.038757481633489,19967837020.1378,0.81034854029638,3.8176478612058,0.108099180637206
16,41,29,60435.2406726871,76831.9278681812,0.65785301578179,0.541649307402259,0.679034863001457,0.381375026789588,21636820.1835775,0.47561885265266,CMR,GNQ,1701289.0625,8206.5,15204403.0086908,0.0648336745197486,0.096182646829225,0.136314349522003,1778120.99036818,9234.3984375,30271.68359375,73.3466792544567,463783.314534201,2.87431893754552,0.276459603244494,FALSE,1.57538927039501,46.0991567209087,70.9217795706288,8252.59915672091,8277.42177957063,11728412290.3432,0.0162294092975968,19913382008.8736,0.535424988998967,2.97623824232287,0.0534090199843082
17,36,30,58829.8131800958,74790.9317881554,0.6548159837134,0.0774905883113464,0.677053498759049,0.0884709685167628,21617738.9341849,0.387010622564632,CMR,CMR,0,0,15277103.8097092,0.543299916025619,0.990539733305008,1.40383721879594,74790.9317881554,37563.90625,28285.0703125,70.5904883602789,547071.443153845,2.03686686004574,2.01759755632752,TRUE,2.02723220818663,44.8745590728932,69.0377831890665,44.8745590728932,69.0377831890665,11883195160.7152,1.33616928594213,19985953472.8005,0.901811922404461,4.36564975287767,3.82945739280156
18,58,33,50587.5804223568,64312.4985815254,0.65471771399142,0.0624717319895662,0.677708255707095,0.185263351845499,21644650.3832509,0.511980210340979,CMR,CMR,0,0,15299391.1996611,0.689980056462947,0.950908023926752,1.34766938746211,64312.4985815254,24741.96484375,1796146.375,5132.38445663633,748178.592332251,2.29131743842403,2.1788321375607,TRUE,2.23507478799237,38.5874991489152,59.3653833060234,38.5874991489152,59.3653833060234,12117283861.136,3.33240446115775,20224875034.3667,2.1080400116553,8.67768930517522,8.12130449173401
19,54,38,114763.503981645,145899.99413707,0.654888229993106,0.088532203905789,0.676519272338849,0.00949655121171844,21543281.4122406,0.0412497606582241,CMR,CMR,0,0,15201841.9582814,0.0479786172645991,0.820694349252393,1.16312474300462,145899.99413707,54830.04296875,21089.47265625,27.1141521958167,528749.180975124,0.115146090436266,0.0944997457595486,FALSE,0.104822918097907,87.539996482242,134.676917664988,87.539996482242,134.676917664988,11784705441.0871,0.49627978095852,19902345750.5184,0.479706933495261,1.23167725213861,0.754380313515196
20,40,39,191285.397184742,243183.04477898,0.65640563402145,0.320441612262257,0.677824632759909,0.20246731178859,21581676.1661649,0.21954475171988,GAB,GAB,0,0,15202975.6648136,0.055439887234221,0.178178142561127,0.25252203389019,243183.04477898,27612.8984375,4697.11474609375,3.57601312732313,417333.94409958,0.465842174299422,0.0830028933433078,FALSE,0.274422533821365,145.909826867388,224.476656719058,145.909826867388,224.476656719058,11739659588.3255,0.112142846460594,19954809453.3975,0.744577092823162,1.45317720362932,0.129575627452384
