city_port,population,city_country,IWI,N_IWI,wealth,gdp,SPAM_TOP80,SPAM_TOTAL,N_SPAM,ACLED_fatalities_sqrt,N_ACLED,gdp_other,iso3c,port_locode,port_name,port_status,outflows,lon,lat
FALSE,80169.8524098465,bitam - GAB,49.7119836212941,59,3985402.38991985,219623544.122254,26110.5815339027,32529.1941260163,88,0.949345336787922,6,191601322.013721,CMR,,,,,11.3366795,2.1724999
FALSE,0,,35.989804730622,50,0,11071482.8741379,10316.2003058409,13811.9149522363,93,0,6,0,CMR,,,,,11.3987398,2.9416099
FALSE,0,,20.2978890632107,30,0,0,0,0,0,6.25096982028127,32,0,NGA,,,,,11.37848,7.80269
FALSE,19459.6703042637,mayo-darle - CMR,27.6775168161235,21,538595.352082478,57301487.1384908,29265.4757239136,34361.7951330074,84,0.350733375635944,6,25893390.7779194,CMR,,,,,11.5749798,6.2867699
FALSE,0,,21.4276726170787,19,0,47313139.8149917,44085.4972164437,56194.1321222136,93,2.0492404087648,5,0,CMR,,,,,11.3942499,5.033
FALSE,38496.9230736977,ntui - CMR,39.1395367626388,29,1506751.73589147,456049171.320409,357441.457458339,421035.591247022,94,0.99265102922109,12,72438262.513583,CMR,,,,,11.6239901,4.45331
FALSE,11637.3076462173,mitzic - GAB,25.3228390016027,28,294689.667937281,87037085.8562051,67898.5752230375,70570.40935444,93,0,1,14167435.1637309,GAB,,,,,11.5485697,0.78783
FALSE,0,,21.8190986327782,17,0,72565348.074848,67615.031745374,70372.4619027178,90,0,5,0,GAB,,,,,11.6136293,1.40861
FALSE,0,,44.3513899976176,28,0,0,0,0,0,71.8631883006067,104,0,NGA,,,,,12.0360594,9.4568796
TRUE,117355.615343071,oyem - GAB,47.4419394134149,40,5567577.99293,349310176.779675,76074.8444105395,79696.0165504487,90,0,5,267665645.646723,GAB,"","","",,11.580106,1.599523
FALSE,0,,18.6803899301087,12,0,8481252.10071525,7902.67180195819,9303.50227162661,91,0,1,0,CMR,,,,,12.0939293,2.362
FALSE,0,,25.0955286884135,20,0,83921763.5114454,78196.7268743931,80885.5689927439,17,0,1,0,COG,,,,,12.4489298,-3.7208798
FALSE,0,,23.3612615213041,26,0,38866027.008521,36214.6357692258,38360.3908286285,28,7.53743288981286,12,0,NGA,,,,,12.0422497,8.1119099
FALSE,0,,18.1823813647694,16,0,7305872.2782583,6807.47490541294,10246.5913338713,91,0,0,0,CMR,,,,,12.2272902,5.3556399
FALSE,129236.935754174,mbalmayo - CMR,41.0625757569253,41,5306801.46499866,377673134.417403,114184.69083542,150136.503465427,92,4.04867326713373,220,255128611.085754,CMR,,,,,11.5141802,3.4663
TRUE,123584.075442859,sangmelima - CMR,56.9289655047632,49,7035513.56782458,344313607.292441,5661.33177770739,7856.58544187586,90,0,7,338237791.007039,CMR,"","","",,11.984259,2.933186
FALSE,27458.9151910746,makokou - GAB,29.4106161947788,19,807583.615809677,44861402.0896765,5624.40982886651,5827.12943423999,91,0,7,38825210.9290443,GAB,,,,,12.8800592,0.57262
FALSE,0,,31.8059331008401,33,0,91950442.583434,85677.6996076319,113872.345101647,89,0,1,0,CMR,,,,,11.7421799,3.4712598
FALSE,24558,akonolinga - CMR,33.8926376387238,29,832335.39513178,112396144.947039,67443.2344687946,87715.3838567677,93,0.84965088250288,9,40015171.986001,CMR,,,,,12.3173695,3.86707
FALSE,0,,42.5938391278152,38,0,408711258.552238,380829.493068744,446809.608239816,93,3.61644914611375,234,0,CMR,,,,,11.6356602,4.2817297
TRUE,55734.922674582,tibati - CMR,40.1339961626869,23,2236865.17274933,131808891.055284,22614.1978126043,24785.9528426609,92,2.94142081959532,14,107539034.289042,CMR,"","","",,12.62843,6.465065
FALSE,0,,28.0584954125544,20,0,193235376.622864,180053.103462104,182702.617002522,90,0.765679526984615,14,0,CMR,,,,,13.4344997,4.5693398
TRUE,1210568.39894477,pointe noire - COG,62.4806814208222,40,75637138.4725829,3779406122.27334,133330.273644775,140297.730560707,14,3.10131774037414,11,3636314305.76155,COG,CGPNR,Pointe Noire,AI,3473713.58117,11.893892,-4.818817
FALSE,0,,26.5356186031771,23,0,75880939.123064,70704.437362895,73721.1837299895,14,0,1,0,COG,,,,,12.1422396,-4.4204998
FALSE,12289.9424341209,ayos - CMR,24.3573751294474,31,299350.738187197,81594174.1244267,62618.1742367835,74646.5595748009,93,0.273902057894956,7,14391519.7440336,CMR,,,,,12.5527201,3.8897099
FALSE,0,,37.2291562950342,17,0,5502143.28135533,5126.79402092452,6852.78999375467,87,0,1,0,CMR,,,,,12.6691294,2.67044
FALSE,0,,36.996444107965,25,0,0,0,0,0,60.0321105485859,198,0,NGA,,,,,12.2308893,9.30441
FALSE,0,,51.6124374295384,105,0,0,0,0,0,426.975923124874,746,0,NGA,,,,,13.1129599,11.8344793
TRUE,142576.296164443,dolisie - COG,46.3406113822735,49,6607072.73288038,401279423.83554,77933.4948866938,80593.6334699321,21,0.991669885894682,13,317640164.381532,COG,"","","",,12.666658,-4.1983
FALSE,0,,18.3748807025148,20,0,6910497.07132708,6439.07169537922,9778.33763075809,82,0,0,0,CMR,,,,,12.3433399,5.4879899
FALSE,0,,34.95484559539,51,0,41475374.9519822,38645.9772939694,45990.2306876596,11,36.0169428867918,116,0,NGA,,,,,13.1615601,10.3116198
FALSE,15811.8463469583,makabana - COG,20.6214024895594,13,326062.447623697,85396628.4818859,64964.6493022045,67522.3829051561,13,0,1,15675705.9667911,COG,,,,,12.6040697,-3.47978
FALSE,145899.299833998,nkayi - COG,30.8053691455104,35,4494481.78945781,560385433.012993,320821.348514607,334473.37548753,30,0.155614113038851,16,216075710.398726,COG,,,,,13.0467901,-4.1487999
FALSE,78609.3275619483,moanda - GAB,58.8645294950298,38,4627301.08085476,267125118.103411,41617.0941074622,43872.3950902163,93,0.129150295652237,23,222461101.215209,GAB,,,,,13.2161398,-1.5501
FALSE,34771.0780473544,ngaoundal - CMR,26.4265705771924,18,918880.348063476,61637773.7662175,16270.6580247474,18194.7731553126,92,2.09689456117803,12,44175887.9622018,CMR,,,,,13.0723896,6.5987396
